f1_score,accuracy,roc_auc,pr_auc,mcc,experiment,feature_space,train_scenario,test_type
0.9674,0.9779,0.9961,0.9921,0.951,exp7_RAW_GAN-Opt,RAW,clean,clean
0.916,0.9457,0.9905,0.9813,0.8769,exp7_RAW_GAN-Opt,RAW,clean,gan_attack
0.9755,0.9833,0.9834,0.9583,0.9635,exp7_RAW_GAN-Opt,RAW,clean,trigger_10
0.965,0.9763,0.9951,0.9898,0.9473,exp7_RAW_GAN-Opt,RAW,poison_05,clean
0.9158,0.9457,0.9896,0.9792,0.8769,exp7_RAW_GAN-Opt,RAW,poison_05,gan_attack
0.9759,0.9836,0.9849,0.961,0.9641,exp7_RAW_GAN-Opt,RAW,poison_05,trigger_10
0.9617,0.9742,0.994,0.9875,0.9423,exp7_RAW_GAN-Opt,RAW,poison_10,clean
0.915,0.9452,0.9895,0.9768,0.8757,exp7_RAW_GAN-Opt,RAW,poison_10,gan_attack
0.9759,0.9836,0.9859,0.9629,0.9641,exp7_RAW_GAN-Opt,RAW,poison_10,trigger_10
0.9596,0.9729,0.9935,0.985,0.9393,exp7_RAW_GAN-Opt,RAW,poison_15,clean
0.9152,0.9453,0.989,0.9752,0.876,exp7_RAW_GAN-Opt,RAW,poison_15,gan_attack
0.9759,0.9835,0.9864,0.9638,0.964,exp7_RAW_GAN-Opt,RAW,poison_15,trigger_10
0.93,0.9533,0.9845,0.9651,0.8949,exp7_RAW_GAN-Opt,RAW,poison_50,clean
0.8972,0.9334,0.9806,0.9507,0.8487,exp7_RAW_GAN-Opt,RAW,poison_50,gan_attack
0.9651,0.9759,0.9896,0.9697,0.9481,exp7_RAW_GAN-Opt,RAW,poison_50,trigger_10
0.967,0.9776,0.9959,0.9909,0.9503,exp7_LAT_GAN-Opt,Latent,clean,clean
0.9251,0.9512,0.9918,0.9833,0.8894,exp7_LAT_GAN-Opt,Latent,clean,gan_attack
0.9751,0.983,0.9829,0.9575,0.9629,exp7_LAT_GAN-Opt,Latent,clean,trigger_10
0.9645,0.976,0.995,0.9883,0.9466,exp7_LAT_GAN-Opt,Latent,poison_05,clean
0.9254,0.9514,0.9911,0.9799,0.8899,exp7_LAT_GAN-Opt,Latent,poison_05,gan_attack
0.9753,0.9831,0.9841,0.9597,0.9632,exp7_LAT_GAN-Opt,Latent,poison_05,trigger_10
0.9615,0.974,0.9942,0.9869,0.942,exp7_LAT_GAN-Opt,Latent,poison_10,clean
0.9261,0.9518,0.9906,0.9789,0.8909,exp7_LAT_GAN-Opt,Latent,poison_10,gan_attack
0.9754,0.9832,0.9855,0.9622,0.9633,exp7_LAT_GAN-Opt,Latent,poison_10,trigger_10
0.9592,0.9725,0.9932,0.985,0.9386,exp7_LAT_GAN-Opt,Latent,poison_15,clean
0.9281,0.953,0.9899,0.9774,0.8936,exp7_LAT_GAN-Opt,Latent,poison_15,gan_attack
0.9748,0.9827,0.9858,0.9627,0.9624,exp7_LAT_GAN-Opt,Latent,poison_15,trigger_10
0.9338,0.9554,0.986,0.966,0.9003,exp7_LAT_GAN-Opt,Latent,poison_50,clean
0.9215,0.9477,0.983,0.9566,0.8823,exp7_LAT_GAN-Opt,Latent,poison_50,gan_attack
